room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
1089346,1520,5985330,Entire home/apt,,Santa Barbara,,Upper State,26,4.5,6,2.0,,300.0,,Butterfly Cottage 2 Bedroom 2 Bath,2017-07-23 09:57:46.920753,34.448524,-119.75338,0101000020E6100000795DBF6037F05DC04DBC033C69394140
6585889,1520,19795287,Entire home/apt,,Santa Barbara,,Downtown,10,5.0,2,1.0,,305.0,,Beautiful & Spacious Home Downtown,2017-07-23 09:57:45.251827,34.43317,-119.704918,0101000020E6100000271763601DED5DC0DDCD531D72374140
5278263,1520,27323064,Entire home/apt,,Santa Barbara,,Mesa,12,4.5,5,2.0,,400.0,,Two-bedroom condo close to Mesa,2017-07-23 09:57:45.240990,34.408511,-119.712879,0101000020E610000055C03DCF9FED5DC03387A4164A344140
16624373,1520,32530745,Entire home/apt,,Santa Barbara,,Downtown,0,0.0,6,2.0,,375.0,,PARK VIEW BEST LOCATION DOWNTOWN SANTA BARBARA,2017-07-23 09:57:45.225593,34.431171,-119.70548,0101000020E6100000DAFE959526ED5DC0E7FD7F9C30374140
9712133,1520,12298759,Entire home/apt,,Santa Barbara,,Upper State,7,4.5,6,2.0,,325.0,,Good Livin' | Santa Barbara,2017-07-23 09:57:45.223542,34.434874,-119.742589,0101000020E6100000A357039486EF5DC0BBF083F3A9374140
9755680,1520,50314446,Entire home/apt,,Santa Barbara,,Eastside,11,5.0,6,2.0,,499.0,,Luxurious Loft Style Apartment at The Mill,2017-07-23 09:57:43.533639,34.420836,-119.691075,0101000020E61000005305A3923AEC5DC05F7D3CF4DD354140
17954700,1520,123206123,Entire home/apt,,Santa Barbara,,Waterfront,1,0.0,4,2.0,,325.0,,Peaceful 2 bed Beach house,2017-07-23 09:57:43.522975,34.410357,-119.692806,0101000020E61000003F1EFAEE56EC5DC0A357039486344140
17732336,1520,13346348,Entire home/apt,,Santa Barbara,,Mesa,6,4.5,6,1.0,,325.0,,Charming Santa Barbara Beach Loft!,2017-07-23 09:57:43.507160,34.410648,-119.710318,0101000020E6100000A6F0A0D975ED5DC07B15191D90344140
17925866,1520,12741051,Entire home/apt,,Santa Barbara,,Downtown,0,0.0,8,4.0,,400.0,,Downtown Lower Riviera Craftsman Home,2017-07-23 09:57:43.505068,34.429298,-119.703582,0101000020E61000007903CC7C07ED5DC07E1EA33CF3364140
6989654,1520,3208057,Entire home/apt,,Santa Barbara,,Riviera,18,5.0,6,3.0,,400.0,,Olive and Oaks,2017-07-23 09:57:43.499791,34.421458,-119.641769,0101000020E61000008BA548BE12E95DC09C51F355F2354140
